objectid,isbn
178562,1941816142
206376,1941816193
181104,194181624X
181102,1941816320
196954,1941816126
181567,1941816371
206369,1941816223
271602,1941816517
181564,194181638X
181103,1941816231
181568,1941816355
196947,1941816118
181094,1941816150
181569,1941816398
181565,1941816401
196941,1941816266
181099,1941816177
181101,1941816169
181096,1941816274
206368,1941816789
233596,1941816479
219881,1941816762
213555,1941816304
196939,1941816207
322984,1941816711
263687,1941816541
233601,1941816495
271598,1941816452
322985,194181672X
266521,1941816436
274940,1941816460
266555,1941816533
271650,1941816487
271832,194181655X
271652,1941816614
274916,1941816568
327028,1941816738
327027,1941816746
266966,1988884195
266967,1988884217
266964,1988884225
266965,1988884209
320527,1988884896
322561,1988884640
322563,1988884667
